"","BEEF","BURGER","PORK","LAMB","CHICKEN","BACON","HAM","CORNED_BEEF","SAUSAGES","SAVOURY_PIES","LIVER","FRIED_FISH","FISH_FINGERS","WHITE_FISH","OILY_FISH","SHELLFISH","ROE","WHITE_BREAD","BROWN_BREAD","WHOLEMEAL_BREAD","CRACKERS","CRISPBREAD","PORRIDGE","CEREAL","BOILED_POTATOES","CHIPS","ROAST_POTATOES","POTATO_SALAD","WHITE_RICE","BROWN_RICE","WHITE_PASTA","WHOLEMEAL_PASTA","LASAGNE","PIZZA","SINGLE_CREAM","DOUBLE_CREAM","LOWFAT_YOGURT","FULLFAT_YOGURT","DAIRY_DESSERT","CHEESE","COTTAGE_CHEESE","EGGS","QUICHE","LOWCAL_SALAD_CREAM","SALAD_CREAM","FRENCH","OTHER_DRESSING","BUTTER","HARD_MARGARINE","POLYUNSATURATED_MARGARINE","OTHER_MARGARINE","LOWFAT_SPREAD","VERY_LOWFAT_SPREAD","CHOCOLATE_BISCUIT","PLAIN_BISCUIT","HOMEBAKED_CAKE","READYMADE_CAKE","HOMEBAKED_BUNS","READYMADE_BUNS","HOMEBAKED_FRUIT_PIES","READYMADE_FRUIT_PIES","MILK_PUDDINGS","ICE_CREAM","CHOCOLATES","CHOCOLATE_BARS","SWEETS","SUGAR","CRISPS","NUTS","VEGETABLE_SOUP","MEAT_SOUP","SAUCES","KETCHUP","PICKLES","MARMITE","JAM","PEANUT_BUTTER","TEA","INSTANT_COFFEE","DECAFF_COFFEE","COFFEE_WHITENER","COCOA","HORLICKS","WINE","BEER","PORT","SPIRITS","LOWCAL_FIZZY_DRINKS","FIZZY_DRINKS","FRUIT_JUICE","FRUIT_SQUASH","APPLES","PEARS","ORANGES","GRAPEFRUIT","BANANAS","GRAPES","MELONS","PEACHES","STRAWBERRIES","TINNED_FRUIT","DRIED_FRUIT","CARROTS","SPINACH","BROCCOLI","SPROUTS","CABBAGE","PEAS","GREEN_BEANS","MARROW","CAULIFLOWER","PARSNIPS","LEEKS","ONIONS","GARLIC","MUSHROOMS","PEPPERS","BEANSPROUTS","GREEN_SALAD","WATERCRESS","TOMATOES","SWEETCORN","BEETROOT","COLESLAW","AVOCADO","BEANS","LENTILS","TOFU"
"JGT",4,2,4,1,4,2,3,2,3,3,1,1,2,1,2,1,1,4,1,1,1,1,1,1,3,1,2,1,4,1,4,3,1,2,5,1,1,3,4,3,3,3,1,1,3,1,5,6,1,1,1,1,1,4,4,2,1,1,3,1,1,1,1,2,1,3,4,2,2,1,1,5,1,1,1,1,1,1,2,1,1,2,1,2,4,1,1,2,3,4,3,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,3,1,2,2,1,2,1,3,1,1,1,1,2,1,1
"CAU",1,2,1,1,4,2,2,1,3,3,1,2,3,2,2,1,1,3,3,4,1,3,2,3,2,3,2,1,4,1,3,2,2,2,4,1,6,4,4,3,2,3,2,1,3,1,3,4,1,1,1,2,1,2,2,3,2,2,2,2,2,1,2,4,2,1,2,3,2,3,1,3,1,2,1,3,1,7,1,1,1,2,1,3,4,1,2,4,2,2,3,3,1,1,2,2,2,3,3,3,2,3,3,2,2,2,2,3,3,1,2,1,2,4,4,3,3,1,2,4,3,2,2,2,2,2,3,2
"ASY",4,2,4,1,4,3,4,3,3,1,1,1,1,1,1,1,1,5,3,5,1,3,1,1,3,3,2,1,3,1,4,2,2,2,4,2,3,1,3,3,3,3,1,1,1,1,4,5,1,1,1,1,1,4,4,3,2,2,5,2,1,1,1,7,1,3,7,3,4,2,1,4,4,3,1,4,1,1,2,1,1,6,1,2,4,2,2,4,4,6,3,2,3,2,1,4,2,2,2,2,1,2,3,1,2,2,1,1,1,1,2,1,2,3,2,3,3,1,2,2,3,1,1,1,3,2,1,1
"MHR",4,2,4,1,4,1,4,1,2,1,1,1,1,2,3,1,1,4,3,6,1,1,1,1,3,2,2,1,4,1,4,1,1,2,2,1,2,2,1,6,4,4,1,6,1,1,1,6,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,2,2,2,3,2,1,1,1,2,1,3,3,2,7,1,1,4,1,2,4,1,2,3,2,1,4,3,2,4,1,5,1,1,1,1,1,7,4,2,2,2,3,3,2,1,2,2,2,4,1,3,4,2,5,2,5,5,3,3,2,2,2,1
"MUX",4,2,4,1,2,1,4,1,3,2,1,1,1,4,2,1,1,6,1,3,1,1,1,7,1,1,1,2,5,1,5,4,2,2,2,1,1,1,3,1,1,2,2,1,4,1,2,2,1,1,1,1,1,7,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,3,1,6,2,4,1,1,1,1,3,3,1,1,1,2,4,2,2,2,1,1,1,4,4,1,1,1,2,4,1
"HNZ",4,3,4,1,4,1,1,2,2,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,3,1,2,1,1,1,1,2,3,1,1,1,1,1,3,3,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,5,1,1,1,1,1,1,1,1,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1
"MCF",2,2,2,2,2,1,1,1,1,3,1,1,1,2,2,2,1,5,4,4,1,1,1,1,3,2,2,1,5,3,5,3,2,2,3,3,2,2,2,2,2,4,3,1,1,1,1,5,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,4,1,3,4,1,2,3,1,1,1,1,1,4,3,6,6,1,1,1,2,2,4,2,1,1,2,3,3,3,2,3,2,2,2,2,2,2,1,3,4,3,3,2,3,2,2,1,3,2,4,5,5,3,3,2,3,3,4,2,1,1,3,3,3,3
"WKR",3,2,2,2,3,1,2,1,2,2,1,1,1,2,2,1,1,5,1,4,1,1,1,2,1,2,2,1,3,1,4,1,1,2,3,1,1,2,1,5,1,4,1,1,1,2,1,6,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,4,1,3,1,3,2,2,1,1,1,2,1,1,1,6,7,1,1,1,1,4,4,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,3,4,3,2,1,1,3,1,3,2,1,1,3,2,2,1
"TLN",2,2,2,1,4,1,2,1,3,2,1,1,1,2,2,1,1,6,2,2,1,1,1,2,1,1,3,1,2,2,3,2,1,2,2,1,1,1,2,5,1,3,1,1,1,1,1,6,1,1,1,1,1,4,1,2,1,1,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,2,1,2,1,2,6,1,1,1,1,1,1,1,1,6,4,2,4,2,1,1,1,4,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,1,2,5,3,3,2,1,1,1,4,1,1,1,1,1,1,1
"ZNC",3,2,3,1,3,1,4,2,4,2,2,1,1,2,2,1,1,1,1,1,2,1,6,6,2,2,2,2,3,2,4,3,1,2,2,1,2,1,2,2,2,5,1,3,1,1,2,7,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,6,2,2,2,1,2,1,2,1,2,1,5,7,1,1,1,1,3,5,1,2,1,2,2,2,2,1,2,1,4,1,1,2,2,1,4,2,1,1,1,2,1,2,1,2,1,2,4,1,3,2,1,3,2,3,3,2,1,1,1,2,1
